Time_Sec,Active_DB,Throughput_MBps
0.68,A,109.15
1.18,A,61.13
1.70,A,11.00
2.20,A,81.32
2.70,A,161.02
3.21,A,156.14
3.71,A,160.32
4.30,A,20.08
5.02,A,3.46
5.70,A,3.63
6.41,A,3.45
7.10,A,3.63
7.61,A,60.79
8.19,A,11.83
8.74,A,64.16
9.26,A,66.71
9.78,A,68.29
10.31,A,68.90
10.83,A,66.94
11.59,A,48.10
12.21,A,55.94
12.72,A,16.88
13.52,A,34.95
14.35,A,41.68
14.86,A,19.81
15.51,B,149.02
16.15,B,4.97
16.73,B,59.34
17.23,B,41.71
17.73,B,140.90
18.24,B,146.32
18.74,B,141.69
19.54,B,65.89
20.43,B,3.15
21.26,B,3.69
22.05,B,3.59
22.90,B,3.52
23.41,B,21.15
23.97,B,45.00
24.47,B,157.46
24.97,B,148.26
25.47,B,155.03
25.97,B,157.79
26.47,B,151.69
26.98,B,150.81
27.48,B,153.49
27.98,B,154.81
28.49,B,154.04
28.99,B,155.62
29.49,B,151.94
29.99,B,156.57
30.51,A,72.08
31.17,A,29.25
31.89,A,49.88
32.39,A,53.57
32.89,A,141.96
33.40,A,135.95
33.90,A,138.60
34.40,A,137.22
34.95,A,12.31
35.45,A,2.99
36.31,A,3.82
37.23,A,3.35
38.19,A,3.39
39.04,A,3.74
45.12,A,0.24
45.80,B,37.80
46.52,B,3.41
47.22,B,3.56
47.96,B,3.29
48.66,B,3.54
49.39,B,3.39
50.27,B,38.68
51.18,B,3.51
52.10,B,3.47
53.00,B,3.51
53.90,B,3.57
54.41,B,46.05
55.02,B,51.63
55.92,B,3.57
56.81,B,3.57
57.70,B,3.58
58.59,B,3.58
59.10,B,55.00
59.61,B,150.53
60.11,B,151.16
60.71,A,66.40
61.46,A,27.35
61.96,A,114.61
62.51,A,24.32
63.45,A,3.27
64.08,A,4.94
64.58,A,145.27
65.08,A,142.28
65.58,A,144.53
66.09,A,112.15
66.96,A,3.69
67.88,A,3.24
68.75,A,3.69
69.65,A,3.32
70.50,A,3.73
76.73,A,0.23
77.24,B,68.34
78.02,B,13.86
78.92,B,38.91
79.43,B,54.93
79.93,B,31.61
80.45,B,120.11
80.95,B,113.51
81.45,B,131.02
81.95,B,134.68
82.66,B,38.89
83.57,B,3.57
84.48,B,3.57
85.39,B,3.57
86.30,B,3.57
92.23,B,0.27
92.74,A,60.68
93.43,A,19.98
94.34,A,39.22
94.88,A,5.59
95.57,A,46.09
96.26,A,4.45
96.77,A,139.69
97.27,A,138.52
97.78,A,143.08
98.28,A,140.80
99.00,A,3.26
99.88,A,3.62
100.80,A,3.27
101.65,A,3.58
102.53,A,3.64
108.18,A,0.25
108.69,B,58.16
109.24,B,30.75
109.74,B,36.89
110.59,B,27.50
111.47,B,3.42
112.22,B,21.17
112.72,B,110.19
113.25,B,126.76
113.75,B,98.81
114.25,B,120.33
115.16,B,71.47
115.98,B,3.90
116.92,B,3.18
117.73,B,3.91
118.67,B,3.21
119.47,B,3.96
123.60,B,0.73
124.14,A,62.78
125.00,A,18.67
125.85,A,41.44
126.71,A,3.39
127.22,A,22.67
127.72,A,80.75
128.22,A,137.56
128.72,A,139.66
129.22,A,137.63
129.92,A,75.43
130.77,A,3.44
131.64,A,3.39
132.49,A,3.53
133.35,A,3.57
139.71,A,0.46
140.22,B,52.10
141.07,B,25.41
141.81,B,46.86
142.73,B,3.20
143.34,B,12.03
143.85,B,66.99
144.35,B,136.89
144.85,B,115.59
145.36,B,125.28
145.86,B,136.57
146.38,B,32.42
146.89,B,3.19
147.74,B,3.85
148.54,B,3.59
149.47,B,3.14
149.99,B,3.13
154.17,B,0.82
154.89,B,44.93
155.39,A,59.43
155.90,A,29.66
156.62,A,48.83
157.46,A,3.47
158.05,A,5.04
158.56,A,34.61
159.06,A,113.82
159.58,A,136.43
160.08,A,132.07
160.58,A,140.61
161.47,A,38.17
162.32,A,3.46
163.14,A,3.49
163.99,A,3.46
164.83,A,3.51
170.42,A,0.52
170.96,B,50.47
171.56,B,40.60
172.53,B,37.12
173.04,B,105.24
173.55,B,137.68
174.05,B,121.62
174.55,B,121.09
175.13,B,18.73
176.00,B,3.74
176.85,B,3.29
177.80,B,3.40
178.72,B,3.67
179.52,B,3.82
180.44,B,3.26
181.40,B,3.54
182.29,B,3.63
182.79,B,5.37
183.71,B,2.26
184.62,B,3.70
185.56,B,3.58
