Time_Sec,Active_DB,Throughput_MBps
0.54,A,535.38
1.04,A,788.97
1.54,A,942.84
2.04,A,1188.56
2.54,A,2325.87
3.04,A,3286.06
3.54,A,8752.17
4.04,A,18203.00
4.54,A,19544.66
5.04,A,20033.09
5.55,B,749.15
6.05,B,1036.73
6.55,B,1134.59
7.05,B,1566.07
7.55,B,2724.72
8.05,B,5696.76
8.55,B,13430.97
9.05,B,16768.71
9.55,B,19312.82
10.05,B,19511.52
10.56,A,23024.65
11.06,A,23813.75
11.56,A,23897.21
12.06,A,24376.63
12.56,A,24769.04
13.06,A,25133.62
13.56,A,24621.58
14.06,A,24529.05
14.56,A,24291.70
15.06,A,24294.81
15.56,B,23350.55
16.07,B,23639.87
16.57,B,23146.22
17.07,B,23818.92
17.57,B,23031.41
18.07,B,23917.44
18.57,B,23556.40
19.07,B,23997.23
19.57,B,24164.60
20.07,B,23149.65
20.57,A,23986.53
21.07,A,24401.27
21.57,A,22859.47
22.08,A,23551.14
22.58,A,23703.97
23.08,A,23998.44
23.58,A,23706.37
24.08,A,24231.33
24.58,A,23634.50
25.08,A,23736.11
25.58,B,23270.01
26.08,B,21447.11
26.58,B,23355.66
27.09,B,23908.48
27.59,B,23609.15
28.09,B,23750.79
28.59,B,23213.55
29.09,B,23761.01
29.59,B,22430.74
30.09,B,22220.68
30.59,A,26458.29
31.09,A,26164.33
31.60,A,25161.26
32.10,A,24301.52
32.60,A,24536.75
33.10,A,24029.11
33.60,A,23814.05
34.10,A,23081.42
34.60,A,23359.78
35.10,A,23211.55
35.60,B,22924.20
36.10,B,23785.73
36.60,B,23451.74
37.11,B,23243.78
37.61,B,24343.70
38.11,B,24650.16
38.61,B,23587.69
39.11,B,23392.15
39.61,B,23290.58
40.11,B,23434.25
40.61,A,26654.45
41.11,A,24853.83
41.61,A,23979.03
42.12,A,23461.05
42.62,A,23890.43
43.12,A,23936.21
43.62,A,22933.87
44.12,A,24708.19
44.62,A,23754.94
45.12,A,24440.04
45.62,B,26026.21
46.12,B,23121.05
46.62,B,23177.51
47.12,B,23389.25
47.63,B,23390.44
48.13,B,23119.32
48.63,B,23258.17
49.13,B,23541.35
49.63,B,23592.60
50.13,B,23488.02
50.63,A,25109.69
51.13,A,23309.90
51.63,A,23720.37
52.13,A,23681.31
52.63,A,24033.33
53.14,A,24408.86
53.64,A,24114.06
54.14,A,24266.71
54.64,A,23373.62
55.14,A,23962.61
55.64,B,26779.08
56.14,B,25751.86
56.64,B,22779.88
57.14,B,23600.06
57.64,B,23934.43
58.14,B,22814.07
58.64,B,23085.03
59.14,B,21289.25
59.65,B,23063.90
60.15,B,23483.77
60.65,A,26876.72
61.15,A,25025.59
61.65,A,24110.65
62.15,A,24275.57
62.65,A,25005.17
63.15,A,24799.37
63.65,A,24310.33
64.15,A,23833.41
64.65,A,24047.83
