Time_Sec,Active_DB,Throughput_MBps
0.51,A,27.97
1.02,A,57.93
1.52,A,51.93
2.02,A,45.94
2.52,A,55.93
3.02,A,53.93
3.52,A,53.93
4.02,A,53.93
4.52,A,47.94
5.02,A,41.95
5.60,B,23.97
6.10,B,21.97
6.60,B,13.98
7.10,B,41.95
7.60,B,45.94
8.10,B,41.95
8.60,B,53.93
9.10,B,55.93
9.60,B,57.93
10.11,B,51.93
10.77,A,13.98
11.27,A,49.93
11.77,A,49.94
12.28,A,41.94
12.78,A,51.93
13.28,A,51.93
13.78,A,39.95
14.28,A,47.94
14.78,A,53.93
15.28,A,47.94
15.93,B,37.96
16.43,B,51.93
16.93,B,47.94
17.43,B,45.94
17.93,B,49.94
18.43,B,53.93
18.93,B,49.93
19.43,B,49.94
19.93,B,51.93
20.43,B,45.94
21.13,A,17.98
21.63,A,55.93
22.13,A,57.92
22.63,A,31.96
23.13,A,53.93
23.63,A,51.93
24.13,A,45.94
24.63,A,53.93
25.13,A,51.93
25.63,A,49.93
26.26,B,17.98
26.77,B,43.94
27.27,B,49.93
27.77,B,53.93
28.27,B,47.94
28.77,B,49.93
29.27,B,53.93
29.77,B,55.93
30.27,B,51.94
30.77,B,45.94
31.46,A,7.99
31.96,A,49.93
32.46,A,49.93
32.96,A,47.94
33.46,A,47.94
33.96,A,55.93
34.46,A,45.94
34.96,A,51.93
35.46,A,55.93
35.96,A,45.94
36.74,B,25.97
37.25,B,49.94
37.75,B,55.93
38.25,B,53.92
38.75,B,43.94
39.25,B,53.93
39.75,B,45.94
40.25,B,63.91
40.75,B,51.93
41.25,B,45.94
41.85,A,21.98
42.35,A,43.94
42.85,A,45.94
43.35,A,55.93
43.85,A,55.93
44.35,A,49.93
44.85,A,47.94
45.35,A,45.94
45.85,A,57.92
46.35,A,51.93
46.99,B,9.99
47.49,B,61.92
47.99,B,49.93
48.50,B,49.93
49.00,B,65.91
49.50,B,57.93
50.00,B,51.93
50.50,B,47.95
51.00,B,63.92
51.50,B,57.92
52.10,A,4.00
52.60,A,45.94
53.10,A,45.94
53.60,A,45.94
54.10,A,47.94
54.60,A,53.93
55.10,A,33.95
55.60,A,39.95
56.10,A,55.93
56.61,A,65.91
57.27,B,5.99
57.77,B,53.93
58.27,B,57.93
58.77,B,45.94
59.27,B,49.93
59.77,B,49.93
60.27,B,49.93
60.77,B,57.93
61.27,B,51.93
61.77,B,55.92
62.38,A,17.98
62.88,A,47.94
63.38,A,51.94
63.88,A,39.95
64.38,A,47.94
64.89,A,53.93
65.39,A,49.94
65.89,A,47.94
66.39,A,49.94
66.89,A,49.94
67.62,B,23.97
68.12,B,47.94
68.62,B,49.94
69.12,B,49.94
69.62,B,55.93
70.12,B,53.93
70.62,B,51.93
71.12,B,65.91
71.63,B,55.93
72.13,B,55.93
72.75,A,11.99
73.25,A,47.94
73.75,A,51.93
74.25,A,51.94
74.75,A,53.93
75.25,A,51.94
75.75,A,49.94
76.25,A,49.93
76.75,A,45.94
77.25,A,47.94
77.95,B,17.98
78.45,B,59.92
78.95,B,47.94
79.45,B,37.95
79.95,B,53.93
80.45,B,51.94
80.95,B,43.94
81.45,B,59.92
81.95,B,55.93
82.45,B,55.93
83.21,A,23.97
83.71,A,49.93
84.21,A,47.94
84.71,A,47.94
85.21,A,53.93
85.71,A,59.92
86.22,A,51.93
86.72,A,43.94
87.22,A,51.93
87.72,A,49.93
88.35,B,5.99
88.85,B,53.93
89.35,B,51.93
89.86,B,49.94
90.36,B,47.94
90.86,B,49.94
91.36,B,45.94
91.86,B,49.93
92.36,B,65.91
92.86,B,49.93
93.54,A,21.97
94.04,A,47.94
94.54,A,49.93
95.04,A,45.94
95.54,A,55.93
96.04,A,51.93
96.54,A,35.95
97.04,A,69.91
97.54,A,55.93
98.04,A,45.94
98.69,B,7.99
99.19,B,57.92
99.69,B,37.95
100.19,B,49.93
100.69,B,47.94
101.19,B,63.92
101.69,B,49.98
102.19,B,55.93
102.69,B,61.92
103.19,B,57.92
103.90,A,25.97
104.40,A,47.94
104.91,A,51.93
105.41,A,55.93
105.91,A,63.91
106.41,A,55.93
106.91,A,41.94
107.41,A,59.92
107.91,A,63.91
108.41,A,45.94
109.05,B,13.98
109.55,B,57.93
110.05,B,53.93
110.55,B,41.95
111.05,B,61.92
111.55,B,53.93
112.05,B,55.93
112.55,B,47.94
113.05,B,55.93
113.55,B,47.94
114.22,A,35.96
114.72,A,49.94
115.22,A,45.94
115.72,A,53.93
116.23,A,51.93
116.73,A,57.92
117.23,A,57.96
117.73,A,49.93
118.23,A,57.92
118.73,A,49.94
119.32,B,9.99
119.82,B,53.93
120.32,B,53.92
120.82,B,53.93
121.32,B,53.93
121.82,B,57.92
122.33,B,57.92
122.83,B,55.93
123.33,B,65.91
123.83,B,49.93
124.43,A,13.99
124.93,A,51.93
125.43,A,45.94
125.93,A,49.93
126.43,A,55.93
126.93,A,65.91
127.43,A,41.95
127.93,A,57.92
128.44,A,51.93
128.94,A,53.93
129.63,B,4.00
130.13,B,59.93
130.63,B,57.92
131.13,B,51.96
131.63,B,61.92
132.13,B,55.93
132.63,B,37.95
133.13,B,59.92
133.63,B,57.93
134.13,B,55.92
134.76,A,5.99
135.26,A,49.94
135.76,A,51.94
136.26,A,43.94
136.77,A,59.92
137.27,A,51.93
137.77,A,51.93
138.27,A,47.94
138.77,A,57.93
139.27,A,49.94
139.94,B,17.98
140.44,B,53.93
140.94,B,63.92
141.44,B,51.94
141.94,B,47.94
142.44,B,59.97
142.94,B,55.93
143.44,B,61.92
143.94,B,67.92
144.44,B,51.94
145.11,A,13.98
145.61,A,51.93
146.11,A,55.93
146.61,A,39.95
147.11,A,65.91
147.61,A,51.93
148.11,A,51.93
148.61,A,67.91
149.12,A,59.93
149.62,A,53.93
150.30,B,13.98
150.80,B,47.94
151.30,B,57.92
151.80,B,55.93
152.30,B,25.97
152.80,B,53.93
153.31,B,67.91
153.81,B,55.93
154.31,B,63.92
154.81,B,57.92
155.44,A,4.00
155.94,A,47.94
156.44,A,55.92
156.94,A,45.94
157.44,A,51.93
157.94,A,51.93
158.45,A,49.93
158.95,A,63.92
159.45,A,53.93
159.95,A,47.94
160.60,B,7.99
161.10,B,45.94
161.60,B,57.92
162.10,B,47.94
162.60,B,61.92
163.10,B,59.92
163.60,B,59.92
164.10,B,47.94
164.60,B,63.92
165.10,B,59.92
165.71,A,15.98
166.21,A,59.92
166.71,A,39.95
167.21,A,49.93
167.71,A,55.93
168.21,A,57.92
168.71,A,47.94
169.21,A,57.92
169.72,A,59.92
