Time_Sec,Active_DB,Throughput_MBps
0.95,A,759.09
1.45,A,874.84
1.95,A,1212.42
2.45,A,1370.25
2.95,A,3459.93
3.45,A,7283.40
3.95,A,17818.80
4.45,A,20859.75
4.95,A,22515.08
5.45,A,21703.84
5.96,B,747.15
6.46,B,982.84
6.96,B,1064.65
7.46,B,1388.32
7.96,B,2235.33
8.46,B,5149.65
8.96,B,12104.47
9.46,B,15916.65
9.96,B,16388.07
10.46,B,17609.36
10.97,A,22925.61
11.47,A,23855.04
11.97,A,24489.37
12.47,A,23766.02
12.97,A,24034.16
13.47,A,24236.58
13.97,A,24379.47
14.47,A,23836.70
14.97,A,23175.61
15.47,A,23126.67
15.98,B,23155.65
16.48,B,23184.06
16.98,B,23404.31
17.48,B,22635.82
17.98,B,22987.52
18.48,B,23012.10
18.98,B,23064.40
19.48,B,23298.97
19.98,B,22928.21
20.48,B,22984.34
20.99,A,25978.90
21.49,A,24297.38
21.99,A,24324.97
22.49,A,24231.56
22.99,A,23798.53
23.49,A,23721.49
23.99,A,23571.05
24.49,A,23201.62
24.99,A,23687.52
25.49,A,22841.17
25.99,B,23622.73
26.50,B,22919.09
27.00,B,23030.93
27.50,B,23524.33
28.00,B,22637.86
28.50,B,23093.50
29.00,B,23305.95
29.50,B,22193.09
30.00,B,22989.74
30.50,B,23641.99
31.00,A,24373.85
31.50,A,23438.26
32.00,A,23489.09
32.51,A,24418.53
33.01,A,24367.66
33.51,A,24028.29
34.01,A,24203.24
34.51,A,24741.33
35.01,A,24369.63
35.51,A,24655.81
36.01,B,23904.62
36.51,B,23350.56
37.01,B,23593.46
37.51,B,23224.34
38.02,B,23200.07
38.52,B,23178.10
39.02,B,23449.31
39.52,B,23075.69
40.02,B,22634.98
40.52,B,23524.74
41.02,A,25919.69
41.52,A,24980.42
42.02,A,24240.11
42.53,A,23844.55
43.03,A,24287.67
43.53,A,23625.06
44.03,A,22996.07
44.53,A,24372.23
45.03,A,23593.60
45.53,A,23198.64
46.03,B,23471.10
46.53,B,23228.36
47.03,B,23294.12
47.53,B,23492.19
48.04,B,23490.13
48.54,B,24089.69
49.04,B,23892.79
49.54,B,23869.27
50.04,B,24238.85
50.54,B,24201.68
51.04,A,26354.76
51.54,A,22019.22
52.04,A,24017.24
52.54,A,23071.27
53.05,A,23526.47
53.55,A,23644.27
54.05,A,23801.71
54.55,A,23763.11
55.05,A,23778.18
55.55,A,23157.72
56.05,B,22757.19
56.55,B,22149.80
57.05,B,22536.95
57.55,B,23293.63
58.06,B,22753.30
58.56,B,23554.39
59.06,B,23634.21
59.56,B,22747.30
60.06,B,22635.93
60.56,B,22701.69
61.06,A,26396.64
61.56,A,24591.59
62.06,A,24911.20
62.56,A,24836.77
63.06,A,24141.03
63.57,A,24061.67
64.07,A,22962.91
64.57,A,23561.35
65.07,A,23503.90
65.57,A,23574.66
66.07,B,24858.71
66.57,B,22841.24
67.07,B,22739.21
67.57,B,23257.70
68.07,B,23020.64
68.58,B,23029.90
69.08,B,23300.89
69.58,B,22793.05
70.08,B,23542.09
70.58,B,23345.68
71.08,A,25244.59
71.58,A,23803.58
72.08,A,23591.31
72.58,A,23701.55
73.08,A,23077.57
73.58,A,23281.36
74.09,A,24478.89
74.59,A,23955.44
75.09,A,24133.95
75.59,A,23883.46
76.09,B,24330.50
76.59,B,21614.93
77.09,B,23075.73
77.59,B,22939.90
78.09,B,23112.08
78.59,B,23252.62
79.10,B,23206.61
79.60,B,22612.38
80.10,B,23033.06
80.60,B,22966.78
81.10,A,25405.53
81.60,A,24038.10
82.10,A,23133.39
82.60,A,24103.24
83.10,A,24156.21
83.60,A,24934.45
84.10,A,23937.09
84.61,A,23250.78
85.11,A,23485.36
85.61,A,23697.51
86.11,B,23396.41
86.61,B,23259.80
87.11,B,23098.65
87.61,B,23124.25
88.11,B,22856.96
88.61,B,22974.09
89.11,B,22728.06
89.61,B,22714.41
90.12,B,22177.02
90.62,B,23209.03
91.12,A,25345.95
91.62,A,23607.05
92.12,A,24004.73
92.62,A,23997.09
93.12,A,23816.37
93.62,A,23945.04
94.12,A,23737.54
94.62,A,23611.51
95.13,A,22859.73
95.63,A,23264.86
96.13,B,25621.23
96.63,B,26672.29
97.13,B,24912.34
97.63,B,23200.56
98.13,B,24050.57
98.63,B,23369.00
99.13,B,22938.21
99.63,B,22564.43
100.13,B,22954.22
100.63,B,22301.00
101.14,A,25517.28
101.64,A,23879.25
102.14,A,23877.35
102.64,A,23194.63
103.14,A,24143.10
103.64,A,23524.48
104.14,A,24058.31
104.64,A,23919.71
105.14,A,24321.47
105.64,A,23648.65
106.15,B,23396.64
106.65,B,23123.31
107.15,B,22966.38
107.65,B,22868.85
108.15,B,22747.52
108.65,B,23231.48
109.15,B,24057.10
109.65,B,23227.08
110.15,B,22821.68
110.65,B,23263.99
111.16,A,24442.16
111.66,A,23805.97
112.16,A,23933.26
112.66,A,23971.70
113.16,A,23755.44
113.66,A,23449.86
114.16,A,23365.09
114.66,A,23394.33
115.16,A,23555.28
115.66,A,23735.60
116.17,B,24098.06
116.67,B,23049.94
117.17,B,23379.09
117.67,B,22835.86
118.17,B,22882.28
118.67,B,23319.71
119.17,B,22806.31
119.67,B,23039.06
120.17,B,22953.98
120.67,B,23072.86
121.17,A,24929.96
121.68,A,23539.87
122.18,A,22969.02
122.68,A,22984.33
123.18,A,23221.36
123.68,A,23391.38
124.18,A,23425.70
124.68,A,23620.65
125.18,A,23115.13
125.68,A,23233.61
126.18,B,23720.62
126.69,B,23148.06
127.19,B,22553.62
127.69,B,22841.94
128.19,B,23349.69
128.69,B,23480.16
129.19,B,22521.31
129.69,B,23390.00
130.19,B,22930.25
130.69,B,22752.54
131.19,A,25728.76
131.69,A,23882.46
132.19,A,24039.87
132.70,A,23925.62
133.20,A,24184.02
133.70,A,23567.29
134.20,A,23487.86
134.70,A,24169.96
135.20,A,24316.10
135.70,A,23754.75
136.20,B,24222.02
136.70,B,22691.91
137.20,B,23463.30
137.70,B,23370.41
138.20,B,23396.68
138.71,B,23240.11
139.21,B,22949.96
139.71,B,22938.64
140.21,B,22826.69
140.71,B,22696.54
141.21,A,24233.06
141.71,A,23777.37
142.21,A,23546.34
142.71,A,23390.15
143.21,A,23338.87
143.72,A,23326.95
144.22,A,23540.34
144.72,A,23565.22
145.22,A,23598.83
145.72,A,23646.90
146.22,B,23037.64
146.72,B,22853.33
147.22,B,23319.73
147.72,B,23332.78
148.22,B,23582.62
148.73,B,22874.40
149.23,B,22883.43
149.73,B,22604.65
150.23,B,23099.35
150.73,B,23076.57
151.23,A,25679.16
151.73,A,23976.68
152.23,A,24611.71
152.73,A,23880.98
153.23,A,23970.13
153.73,A,24221.46
154.24,A,24493.64
154.74,A,23773.10
155.24,A,23848.71
155.74,A,23302.12
156.24,B,22944.29
156.74,B,23101.10
157.24,B,23143.88
157.74,B,23403.44
158.24,B,22652.33
158.74,B,22428.10
159.25,B,22779.14
159.75,B,23228.55
160.25,B,23748.38
160.75,B,23587.38
161.25,A,25885.06
161.75,A,23427.37
162.25,A,23443.60
162.75,A,23950.45
163.25,A,24020.73
163.75,A,23622.25
164.25,A,23177.28
164.76,A,23780.52
165.26,A,23403.89
165.76,A,23593.72
166.26,B,24598.66
166.76,B,24645.65
167.26,B,23038.23
167.76,B,22915.04
168.26,B,22711.75
168.76,B,23032.77
169.26,B,22606.09
169.76,B,23064.02
170.26,B,21601.16
170.77,B,23279.44
171.27,A,26110.22
171.77,A,25356.65
172.27,A,24377.84
172.77,A,24348.43
173.27,A,23688.33
173.77,A,23788.95
174.27,A,22779.24
174.77,A,23653.11
175.27,A,23746.88
175.77,A,23827.11
176.28,B,23581.05
176.78,B,23311.27
177.28,B,23008.40
177.78,B,23734.36
178.28,B,23716.98
178.78,B,23718.17
179.28,B,22956.76
179.78,B,23953.23
180.28,B,23938.89
180.78,B,23612.50
