Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,79.94,79.94,55.119,179.955,40,0,0
1.02,A,159.80,159.80,58.470,200.913,80,0,0
1.52,A,175.76,175.76,43.577,106.444,88,0,0
2.02,A,143.80,143.80,46.645,134.155,72,0,0
2.52,A,159.78,159.78,59.028,154.920,80,0,0
3.02,A,95.87,95.87,72.268,190.102,48,0,0
3.52,A,159.82,159.82,54.268,189.670,80,0,0
4.02,A,191.75,191.75,40.153,111.476,96,0,0
4.52,A,207.73,207.73,41.497,155.203,104,0,0
5.02,A,223.70,223.70,40.782,138.672,112,0,0
5.62,B,79.91,79.91,46.414,154.531,40,0,0
6.12,B,191.75,191.75,50.889,218.591,96,0,0
6.62,B,175.79,175.79,46.182,129.706,88,0,0
7.12,B,143.80,143.80,42.178,105.343,72,0,0
7.62,B,127.83,127.83,55.268,108.244,64,0,0
8.12,B,127.82,127.82,65.367,172.839,64,0,0
8.62,B,175.75,175.75,55.423,140.951,88,0,0
9.12,B,159.77,159.77,48.947,160.555,80,0,0
9.62,B,127.82,127.82,63.569,161.566,64,0,0
10.13,B,223.71,223.71,41.673,135.341,112,0,0
10.73,A,431.52,431.52,15.952,178.053,216,0,0
11.24,A,351.53,351.53,20.219,221.064,176,0,0
11.74,A,383.43,383.43,22.562,230.689,192,0,0
12.24,A,303.53,303.53,19.435,177.563,152,0,0
12.74,A,207.71,207.71,30.724,206.466,104,0,0
13.24,A,207.71,207.71,43.334,197.165,104,0,0
13.74,A,239.65,239.65,40.390,245.353,120,0,0
14.24,A,207.70,207.70,31.255,164.224,104,0,0
14.74,A,175.76,175.76,50.208,143.923,88,0,0
15.24,A,159.78,159.78,45.715,129.262,80,0,0
15.77,B,127.85,127.85,38.644,223.149,64,0,0
16.27,B,159.78,159.78,44.581,129.029,80,0,0
16.77,B,127.82,127.82,60.976,157.011,64,0,0
17.27,B,127.82,127.82,66.660,156.589,64,0,0
17.77,B,159.78,159.78,56.370,157.300,80,0,0
18.27,B,223.69,223.69,39.524,144.833,112,0,0
