Time_Sec,Active_DB,Throughput_MBps
0.52,A,51.94
1.02,A,55.93
1.52,A,51.93
2.02,A,69.91
2.52,A,67.91
3.02,A,67.90
3.52,A,63.91
4.02,A,53.93
4.53,A,71.91
5.03,A,67.90
5.68,B,51.94
6.18,B,49.94
6.68,B,65.91
7.18,B,59.92
7.68,B,49.93
8.19,B,67.91
8.69,B,55.93
9.19,B,65.91
9.69,B,67.91
10.19,B,65.92
10.80,A,49.95
11.30,A,45.94
11.80,A,59.92
12.30,A,55.93
12.80,A,57.93
13.30,A,55.93
13.80,A,53.93
14.30,A,59.92
14.80,A,59.92
15.31,A,45.94
15.98,B,57.93
16.48,B,45.94
16.98,B,57.93
17.48,B,55.93
17.98,B,57.92
18.49,B,59.92
18.99,B,53.93
19.49,B,63.91
19.99,B,65.91
20.49,B,69.91
21.14,A,43.95
21.64,A,51.93
22.15,A,49.93
22.65,A,49.94
23.15,A,47.94
23.65,A,65.91
24.15,A,51.93
24.65,A,57.93
25.15,A,47.94
25.65,A,55.92
26.24,B,49.94
26.74,B,55.92
27.24,B,45.94
27.75,B,53.93
28.25,B,53.93
28.75,B,57.92
29.25,B,59.92
29.75,B,51.93
30.25,B,55.92
30.75,B,71.91
31.48,A,49.95
31.98,A,47.94
32.48,A,55.93
32.98,A,45.94
33.48,A,47.93
33.98,A,53.93
34.49,A,53.93
34.99,A,73.94
35.49,A,67.92
35.99,A,59.92
36.71,B,41.96
37.21,B,51.93
37.71,B,55.93
38.21,B,59.92
38.71,B,63.96
39.21,B,39.95
39.72,B,51.93
40.22,B,53.94
40.72,B,49.94
41.22,B,47.94
41.85,A,45.95
42.35,A,43.94
42.85,A,43.94
43.35,A,53.93
43.85,A,45.94
44.35,A,45.94
44.85,A,49.93
45.35,A,59.92
45.85,A,55.92
46.36,A,55.93
47.07,B,55.96
47.57,B,57.92
48.07,B,49.94
48.57,B,49.94
49.07,B,67.91
49.57,B,53.93
50.07,B,57.92
50.57,B,63.91
51.08,B,51.94
51.58,B,59.92
52.22,A,47.95
52.72,A,33.96
53.23,A,63.92
53.73,A,51.93
54.23,A,49.93
54.73,A,59.92
55.23,A,53.93
55.73,A,59.92
56.23,A,43.94
56.73,A,49.94
57.34,B,55.93
57.84,B,49.93
58.34,B,57.92
58.85,B,49.94
59.35,B,69.91
59.85,B,57.93
60.35,B,57.93
60.85,B,71.91
61.35,B,69.91
61.85,B,65.91
62.52,A,45.95
63.02,A,55.92
63.52,A,53.93
64.02,A,53.93
64.52,A,51.93
65.02,A,53.93
65.52,A,53.93
66.02,A,47.93
66.52,A,51.93
67.02,A,65.91
67.64,B,59.93
68.14,B,51.93
68.64,B,57.92
69.14,B,55.92
69.64,B,63.91
70.14,B,61.92
70.64,B,59.93
71.14,B,59.92
71.64,B,65.91
72.14,B,61.91
72.81,A,47.95
73.31,A,51.93
73.81,A,55.92
74.31,A,63.91
74.81,A,49.93
75.31,A,49.93
75.81,A,53.93
76.31,A,69.90
76.82,A,55.92
77.32,A,53.93
77.92,B,51.94
78.42,B,51.93
78.92,B,61.92
79.42,B,61.92
79.92,B,57.92
80.43,B,61.92
80.93,B,49.93
81.43,B,53.93
81.93,B,59.92
82.43,B,75.91
83.06,A,49.94
83.57,A,49.93
84.07,A,43.94
84.57,A,49.93
85.07,A,63.91
85.57,A,53.93
86.07,A,61.92
86.57,A,59.92
87.07,A,61.92
87.57,A,63.92
88.18,B,49.94
88.68,B,57.93
89.18,B,59.92
89.68,B,57.93
90.18,B,61.92
90.68,B,61.92
91.18,B,49.93
91.68,B,57.93
92.19,B,71.91
92.69,B,57.92
93.46,A,49.94
93.96,A,53.93
94.46,A,51.93
94.96,A,53.93
95.46,A,59.92
95.96,A,57.93
96.46,A,51.92
96.96,A,51.93
97.46,A,65.92
97.96,A,53.93
98.71,B,53.94
99.21,B,45.94
99.71,B,47.94
100.21,B,57.92
100.71,B,49.93
101.21,B,63.92
101.71,B,63.92
102.21,B,63.92
102.71,B,61.92
103.21,B,63.92
103.80,A,43.95
104.30,A,47.94
104.80,A,55.93
105.30,A,47.94
105.80,A,53.93
106.31,A,51.93
106.81,A,57.92
107.31,A,55.93
107.81,A,53.93
108.31,A,59.92
108.92,B,49.94
109.42,B,55.93
109.92,B,55.92
110.42,B,61.92
110.92,B,51.93
111.42,B,55.93
111.92,B,51.93
112.42,B,61.92
112.92,B,51.93
113.42,B,69.91
114.04,A,47.94
114.54,A,61.92
115.04,A,49.93
115.54,A,57.93
116.04,A,43.95
116.54,A,63.91
117.04,A,53.93
117.54,A,49.94
118.04,A,61.92
118.54,A,67.90
119.20,B,39.95
119.70,B,65.91
120.20,B,53.93
120.70,B,51.97
121.20,B,57.92
121.70,B,61.91
122.20,B,53.93
122.70,B,55.93
123.20,B,61.92
123.70,B,71.91
124.31,A,45.95
124.81,A,53.93
125.31,A,69.91
125.81,A,55.92
126.31,A,53.93
126.81,A,57.92
127.31,A,55.93
127.81,A,59.97
128.31,A,69.91
128.81,A,57.92
129.40,B,49.94
129.90,B,61.92
130.40,B,63.92
130.90,B,59.92
131.40,B,53.93
131.90,B,47.93
132.40,B,59.92
132.90,B,61.92
133.41,B,59.93
133.91,B,75.90
134.54,A,47.94
135.04,A,47.93
135.54,A,47.94
136.04,A,57.92
136.54,A,61.91
137.04,A,45.94
137.54,A,55.92
138.04,A,59.92
138.54,A,55.92
139.04,A,63.92
139.66,B,49.94
140.16,B,51.93
140.66,B,61.92
141.16,B,65.91
141.66,B,67.92
142.16,B,59.92
142.66,B,57.93
143.16,B,63.91
143.67,B,73.90
144.17,B,65.91
144.81,A,49.94
145.31,A,57.92
145.81,A,49.94
146.31,A,53.93
146.81,A,51.93
147.31,A,57.97
147.81,A,65.92
148.31,A,55.93
148.81,A,61.92
149.31,A,55.92
149.96,B,55.94
150.46,B,51.93
150.96,B,65.91
151.46,B,49.93
151.96,B,53.93
152.46,B,61.92
152.96,B,63.92
153.46,B,57.92
153.97,B,55.92
154.47,B,59.96
155.09,A,49.94
155.59,A,55.93
156.09,A,55.93
156.59,A,51.94
157.09,A,63.92
157.59,A,49.94
158.09,A,57.93
158.59,A,59.92
159.09,A,61.92
159.59,A,61.92
160.21,B,55.94
160.71,B,55.93
161.21,B,63.91
161.71,B,63.92
162.21,B,61.92
162.71,B,49.93
163.21,B,59.92
163.71,B,59.93
164.21,B,75.90
164.71,B,73.91
165.32,A,45.95
165.82,A,57.93
166.32,A,49.93
166.82,A,59.91
167.32,A,53.93
167.82,A,47.94
168.33,A,59.92
168.83,A,63.91
169.33,A,61.92
169.83,A,55.93
170.44,B,55.94
170.94,B,55.93
171.44,B,55.93
171.94,B,59.92
172.44,B,59.92
172.94,B,63.91
173.44,B,57.92
173.94,B,73.90
174.44,B,71.90
174.94,B,61.91
175.54,A,57.93
176.04,A,55.92
176.54,A,51.93
177.04,A,57.92
177.54,A,57.92
178.04,A,57.92
178.54,A,61.91
179.04,A,69.90
179.54,A,65.91
180.04,A,63.91
