Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,79.91,79.91,45.396,134.347,40,0,0
1.02,A,159.80,159.80,61.438,214.105,80,0,0
1.52,A,175.77,175.77,45.328,102.761,88,0,0
2.02,A,159.79,159.79,46.078,78.914,80,0,0
2.53,A,159.78,159.78,46.756,122.812,80,0,0
3.03,A,127.83,127.83,63.949,163.198,64,0,0
3.53,A,159.79,159.79,53.545,164.725,80,0,0
4.03,A,223.72,223.72,37.150,112.670,112,0,0
4.53,A,175.75,175.75,44.693,139.277,88,0,0
5.03,A,223.68,223.68,34.770,117.275,112,0,0
5.54,B,79.90,79.90,47.564,194.755,40,0,0
6.05,B,191.73,191.73,47.742,177.458,96,0,0
6.55,B,175.75,175.75,49.096,159.626,88,0,0
7.05,B,143.78,143.78,46.794,112.133,72,0,0
7.55,B,127.82,127.82,57.255,117.102,64,0,0
8.05,B,143.81,143.81,59.711,180.568,72,0,0
8.55,B,159.78,159.78,50.550,124.477,80,0,0
9.05,B,207.72,207.72,42.992,174.296,104,0,0
9.55,B,127.83,127.83,66.460,161.475,64,0,0
10.05,B,127.83,127.83,54.300,124.666,64,0,0
10.62,A,175.80,175.80,34.426,210.202,88,0,0
11.12,A,143.79,143.79,51.452,134.668,72,0,0
11.62,A,175.73,175.73,43.083,101.124,88,0,0
12.12,A,143.78,143.78,55.758,204.049,72,0,0
12.62,A,143.80,143.80,47.259,192.465,72,0,0
13.12,A,191.74,191.74,46.712,125.186,96,0,0
13.62,A,207.72,207.72,36.970,104.772,104,0,0
14.12,A,303.59,303.59,30.792,154.486,152,0,0
14.62,A,223.69,223.69,30.876,163.989,112,0,0
15.12,A,143.80,143.80,44.724,150.581,72,0,0
15.70,B,127.85,127.85,30.915,119.475,64,0,0
16.20,B,175.77,175.77,52.422,168.263,88,0,0
16.71,B,127.82,127.82,50.620,162.069,64,0,0
17.21,B,127.81,127.81,62.893,147.077,64,0,0
17.71,B,175.74,175.74,60.828,196.980,88,0,0
18.21,B,159.78,159.78,48.746,110.936,80,0,0
18.71,B,143.82,143.82,48.401,130.167,72,0,0
19.21,B,175.76,175.76,44.332,139.638,88,0,0
19.71,B,239.63,239.63,37.742,121.433,120,0,0
20.21,B,175.72,175.72,38.126,118.220,88,0,0
20.77,A,191.78,191.78,23.134,171.084,96,0,0
21.27,A,159.79,159.79,47.953,121.661,80,0,0
21.77,A,175.76,175.76,45.497,147.654,88,0,0
22.27,A,175.76,175.76,52.816,139.678,88,0,0
22.77,A,175.73,175.73,43.991,109.256,88,0,0
23.27,A,335.46,335.46,23.897,128.402,168,0,0
