Time_Sec,Active_DB,Throughput_MBps
0.52,A,49.99
1.02,A,57.92
1.52,A,51.93
2.02,A,63.92
2.52,A,41.94
3.02,A,57.92
3.52,A,71.90
4.02,A,59.93
4.52,A,69.91
5.02,A,79.89
5.63,B,51.94
6.13,B,51.94
6.63,B,53.93
7.13,B,57.93
7.63,B,51.94
8.13,B,61.92
8.63,B,63.92
9.13,B,61.92
9.63,B,65.97
10.13,B,77.90
10.74,A,47.95
11.24,A,55.93
11.74,A,53.93
12.24,A,59.93
12.74,A,49.93
13.24,A,59.92
13.74,A,55.93
14.25,A,59.93
14.75,A,49.94
15.25,A,39.95
15.90,B,47.95
16.40,B,63.91
16.91,B,57.92
17.41,B,55.93
17.91,B,53.93
18.41,B,63.92
18.91,B,51.94
19.41,B,67.91
19.91,B,63.92
20.41,B,65.91
21.03,A,47.94
21.53,A,53.93
22.03,A,55.93
22.53,A,53.93
23.03,A,57.92
23.53,A,57.92
24.03,A,57.92
24.53,A,61.92
25.04,A,57.92
25.54,A,63.92
26.19,B,47.94
26.69,B,57.92
27.19,B,47.93
27.69,B,49.94
28.20,B,45.94
28.70,B,55.92
29.20,B,57.92
29.70,B,57.93
30.20,B,63.91
30.70,B,63.91
31.34,A,47.94
31.84,A,51.93
32.34,A,55.93
32.85,A,51.93
33.35,A,51.93
33.85,A,63.91
34.35,A,61.92
34.85,A,65.92
35.35,A,65.92
35.85,A,59.92
36.50,B,43.95
37.00,B,59.92
37.50,B,53.93
38.00,B,61.98
38.50,B,59.92
39.00,B,67.91
39.50,B,73.90
40.00,B,61.92
40.50,B,65.91
41.00,B,73.90
41.60,A,47.94
42.10,A,53.93
42.60,A,47.93
43.10,A,51.93
43.60,A,53.93
44.10,A,47.94
44.60,A,59.92
45.10,A,51.93
45.60,A,59.92
46.10,A,55.92
46.73,B,51.94
47.23,B,55.93
47.73,B,59.92
48.23,B,51.93
48.73,B,61.92
49.23,B,51.93
49.73,B,65.92
50.23,B,53.93
50.73,B,51.93
51.23,B,67.91
51.95,A,47.94
52.45,A,55.93
52.95,A,55.93
53.45,A,51.93
53.95,A,57.92
54.46,A,59.92
54.96,A,59.92
55.46,A,65.91
55.96,A,63.91
56.46,A,59.92
57.07,B,55.94
57.57,B,59.92
58.07,B,55.93
58.58,B,65.98
59.08,B,57.93
59.58,B,69.91
60.08,B,69.91
60.58,B,71.91
61.08,B,67.91
61.58,B,63.91
62.20,A,53.94
62.70,A,53.93
63.20,A,51.94
63.70,A,57.93
64.20,A,51.93
64.70,A,57.93
65.20,A,65.92
65.70,A,67.91
66.20,A,61.91
66.70,A,55.92
67.32,B,57.93
67.82,B,55.93
68.32,B,57.93
68.82,B,63.91
69.32,B,63.91
69.82,B,59.92
70.32,B,65.91
70.82,B,67.91
71.32,B,61.92
71.82,B,71.90
72.44,A,57.94
72.94,A,57.92
73.44,A,53.92
73.95,A,57.92
74.45,A,67.91
74.95,A,53.93
75.45,A,57.92
75.95,A,59.92
76.45,A,57.92
76.95,A,57.93
77.56,B,53.94
78.06,B,61.92
78.56,B,55.93
79.06,B,63.92
