Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.53,A,0.00,0.00,0.000,0.000,0,0,0
1.03,A,0.00,0.00,0.000,0.000,0,0,0
1.53,A,111.85,111.85,145.682,336.148,56,0,0
2.03,A,143.79,143.79,88.404,330.685,72,0,0
2.53,A,63.92,63.92,68.790,203.262,32,0,0
3.03,A,63.91,63.91,93.374,243.780,32,0,0
3.53,A,95.87,95.87,122.296,373.858,48,0,0
4.03,A,79.89,79.89,78.000,268.069,40,0,0
4.53,A,95.87,95.87,85.517,292.574,48,0,0
5.03,A,47.93,47.93,71.353,242.355,24,0,0
5.63,B,0.00,0.00,0.000,0.000,0,0,0
6.13,B,31.96,31.96,112.440,211.230,16,0,0
6.63,B,95.86,95.86,134.479,358.342,48,0,0
7.13,B,95.87,95.87,88.524,352.958,48,0,0
7.64,B,47.93,47.93,80.060,280.725,24,0,0
8.14,B,111.85,111.85,112.076,320.300,56,0,0
8.64,B,79.89,79.89,84.713,277.150,40,0,0
9.14,B,95.86,95.86,95.426,479.825,48,0,0
9.64,B,95.87,95.87,99.551,336.412,48,0,0
10.14,B,95.87,95.87,78.965,208.471,48,0,0
10.85,A,63.93,63.93,33.366,174.545,32,0,0
11.36,A,143.79,143.79,57.663,384.195,72,0,0
11.86,A,95.86,95.86,76.126,297.730,48,0,0
12.36,A,143.79,143.79,61.500,277.365,72,0,0
12.86,A,95.86,95.86,58.793,207.621,48,0,0
13.36,A,95.86,95.86,95.900,267.608,48,0,0
13.86,A,79.89,79.89,91.733,275.677,40,0,0
14.36,A,111.84,111.84,86.597,246.149,56,0,0
14.86,A,127.82,127.82,67.619,227.890,64,0,0
15.36,A,95.86,95.86,75.540,232.398,48,0,0
16.01,B,47.94,47.94,45.464,126.102,24,0,0
16.51,B,127.82,127.82,72.027,290.412,64,0,0
17.01,B,47.93,47.93,74.537,297.994,24,0,0
17.51,B,143.80,143.80,87.499,322.498,72,0,0
18.01,B,95.87,95.87,66.815,249.713,48,0,0
18.51,B,79.89,79.89,100.352,260.846,40,0,0
19.01,B,127.83,127.83,69.227,314.140,64,0,0
19.51,B,63.91,63.91,91.697,244.353,32,0,0
20.01,B,95.87,95.87,99.821,272.030,48,0,0
20.52,B,111.84,111.84,79.103,218.529,56,0,0
21.13,A,15.98,15.98,61.857,110.616,8,0,0
21.63,A,63.92,63.92,84.810,267.892,32,0,0
22.13,A,127.82,127.82,109.083,411.236,64,0,0
22.63,A,111.86,111.86,65.302,221.920,56,0,0
23.13,A,127.83,127.83,61.739,247.529,64,0,0
23.63,A,143.80,143.80,53.241,200.668,72,0,0
24.13,A,95.87,95.87,74.947,318.860,48,0,0
24.63,A,159.90,159.90,50.948,204.140,80,0,0
25.13,A,127.83,127.83,70.638,274.951,64,0,0
25.63,A,111.84,111.84,74.118,265.643,56,0,0
26.26,B,15.98,15.98,61.882,131.509,8,0,0
26.76,B,127.82,127.82,91.234,310.503,64,0,0
27.26,B,79.89,79.89,56.185,212.090,40,0,0
27.76,B,111.84,111.84,88.242,289.243,56,0,0
28.26,B,127.82,127.82,70.637,235.316,64,0,0
28.76,B,79.88,79.88,80.217,195.781,40,0,0
29.27,B,111.84,111.84,70.451,319.529,56,0,0
29.77,B,143.79,143.79,56.951,204.016,72,0,0
30.27,B,127.82,127.82,62.262,279.919,64,0,0
30.77,B,127.82,127.82,61.834,259.438,64,0,0
31.37,A,0.00,0.00,0.000,0.000,0,0,0
31.87,A,127.83,127.83,98.428,259.772,64,0,0
32.37,A,63.91,63.91,74.508,268.659,32,0,0
32.87,A,95.88,95.88,102.463,226.534,48,0,0
33.37,A,63.92,63.92,69.765,212.797,32,0,0
33.87,A,111.86,111.86,92.198,256.060,56,0,0
34.37,A,95.88,95.88,92.871,270.319,48,0,0
34.87,A,127.83,127.83,74.893,260.800,64,0,0
35.37,A,79.89,79.89,71.224,215.217,40,0,0
