Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,0.00,0.00,0.000,0.000,0,0,0
1.02,A,31.98,31.98,115.558,239.873,16,0,0
1.52,A,79.90,79.90,128.644,368.619,40,0,0
2.02,A,127.83,127.83,107.696,670.115,64,0,0
2.52,A,79.89,79.89,87.956,257.124,40,0,0
3.02,A,63.91,63.91,84.973,226.951,32,0,0
3.52,A,95.87,95.87,109.303,470.848,48,0,0
4.02,A,79.89,79.89,84.512,266.364,40,0,0
4.52,A,95.87,95.87,72.281,229.114,48,0,0
5.03,A,79.88,79.88,103.275,354.427,40,0,0
5.58,B,0.00,0.00,0.000,0.000,0,0,0
6.09,B,47.93,47.93,103.048,220.196,24,0,0
6.59,B,95.87,95.87,142.765,348.835,48,0,0
7.09,B,95.87,95.87,69.520,339.067,48,0,0
7.59,B,47.93,47.93,114.108,273.028,24,0,0
8.09,B,111.84,111.84,102.691,265.999,56,0,0
8.59,B,95.87,95.87,78.884,268.425,48,0,0
9.09,B,79.89,79.89,96.172,282.574,40,0,0
9.59,B,79.89,79.89,86.476,241.413,40,0,0
10.09,B,79.89,79.89,115.029,240.304,40,0,0
10.73,A,95.89,95.89,40.205,221.682,48,0,0
11.23,A,95.87,95.87,56.718,284.322,48,0,0
11.73,A,79.89,79.89,85.299,344.114,40,0,0
12.23,A,111.84,111.84,101.577,357.966,56,0,0
12.73,A,63.91,63.91,72.006,225.113,32,0,0
13.24,A,127.82,127.82,94.521,293.668,64,0,0
13.74,A,79.89,79.89,76.972,241.054,40,0,0
14.24,A,95.86,95.86,89.725,247.039,48,0,0
14.74,A,111.85,111.85,63.850,192.585,56,0,0
15.24,A,159.77,159.77,60.895,213.399,80,0,0
15.84,B,31.96,31.96,48.264,106.497,16,0,0
16.34,B,143.79,143.79,78.923,333.951,72,0,0
16.84,B,63.91,63.91,41.838,194.943,32,0,0
17.34,B,143.80,143.80,80.728,341.873,72,0,0
17.84,B,63.91,63.91,88.628,224.567,32,0,0
18.34,B,95.86,95.86,96.748,321.631,48,0,0
18.84,B,111.85,111.85,85.202,272.337,56,0,0
19.34,B,79.89,79.89,76.083,199.692,40,0,0
19.85,B,79.88,79.88,95.015,250.234,40,0,0
20.35,B,127.83,127.83,79.516,310.571,64,0,0
20.95,A,31.96,31.96,52.250,163.083,16,0,0
21.45,A,63.91,63.91,93.044,289.969,32,0,0
21.95,A,143.80,143.80,91.858,323.428,72,0,0
22.45,A,79.89,79.89,47.429,130.503,40,0,0
22.95,A,127.81,127.81,85.744,330.280,64,0,0
23.45,A,95.87,95.87,68.089,235.528,48,0,0
23.95,A,127.84,127.84,74.269,249.169,64,0,0
24.45,A,143.81,143.81,53.053,255.886,72,0,0
24.95,A,143.80,143.80,63.130,217.929,72,0,0
25.45,A,95.86,95.86,43.456,205.472,48,0,0
26.07,B,15.98,15.98,59.838,139.787,8,0,0
26.57,B,111.84,111.84,84.660,287.617,56,0,0
27.07,B,95.87,95.87,78.191,237.598,48,0,0
27.57,B,95.87,95.87,89.313,224.851,48,0,0
28.07,B,79.89,79.89,95.450,239.280,40,0,0
28.57,B,95.87,95.87,82.276,252.045,48,0,0
29.07,B,127.82,127.82,75.194,362.733,64,0,0
29.57,B,95.86,95.86,70.349,237.980,48,0,0
30.07,B,111.84,111.84,78.435,287.565,56,0,0
30.57,B,143.79,143.79,61.243,275.434,72,0,0
31.19,A,47.94,47.94,41.890,143.740,24,0,0
31.69,A,143.80,143.80,71.738,242.317,72,0,0
32.19,A,143.79,143.79,67.716,302.595,72,0,0
32.69,A,47.93,47.93,51.596,161.953,24,0,0
33.19,A,143.79,143.79,76.389,392.246,72,0,0
33.69,A,143.79,143.79,59.982,276.501,72,0,0
34.19,A,127.82,127.82,57.465,222.591,64,0,0
34.69,A,127.82,127.82,59.919,292.770,64,0,0
35.19,A,127.83,127.83,59.306,349.326,64,0,0
35.70,A,111.85,111.85,71.521,294.778,56,0,0
36.29,B,63.93,63.93,46.720,187.974,32,0,0
36.79,B,143.80,143.80,63.979,269.526,72,0,0
37.30,B,63.91,63.91,67.748,236.170,32,0,0
37.80,B,175.76,175.76,72.232,408.893,88,0,0
38.30,B,111.84,111.84,56.502,233.969,56,0,0
38.80,B,95.87,95.87,54.532,210.981,48,0,0
39.30,B,143.80,143.80,83.003,378.155,72,0,0
39.80,B,95.87,95.87,68.035,252.010,48,0,0
40.30,B,95.86,95.86,82.867,333.318,48,0,0
40.80,B,95.87,95.87,66.668,249.464,48,0,0
41.33,A,79.91,79.91,46.603,192.471,40,0,0
41.83,A,127.82,127.82,56.383,253.425,64,0,0
42.33,A,159.76,159.76,63.430,259.442,80,0,0
42.83,A,79.89,79.89,54.467,293.572,40,0,0
43.33,A,175.77,175.77,68.041,313.555,88,0,0
43.83,A,175.74,175.74,38.658,206.622,88,0,0
44.34,A,111.85,111.85,37.865,127.432,56,0,0
44.84,A,95.87,95.87,86.862,401.394,48,0,0
45.34,A,111.85,111.85,79.768,333.208,56,0,0
45.84,A,95.87,95.87,56.342,206.374,48,0,0
47.52,B,15.98,15.98,30.904,75.496,8,0,0
48.02,B,143.80,143.80,82.552,256.432,72,0,0
48.52,B,127.82,127.82,50.731,192.402,64,0,0
49.02,B,127.82,127.82,51.852,205.302,64,0,0
49.52,B,127.81,127.81,78.418,271.786,64,0,0
50.02,B,143.79,143.79,54.441,248.496,72,0,0
50.52,B,175.74,175.74,45.832,241.059,88,0,0
51.02,B,127.81,127.81,50.417,286.306,64,0,0
51.52,B,95.87,95.87,99.407,414.489,48,0,0
52.02,B,143.81,143.81,62.578,245.202,72,0,0
52.61,A,47.95,47.95,51.707,180.655,24,0,0
53.11,A,111.84,111.84,69.594,244.960,56,0,0
53.61,A,143.80,143.80,53.137,285.729,72,0,0
54.11,A,175.75,175.75,59.041,323.205,88,0,0
54.61,A,127.81,127.81,48.165,254.272,64,0,0
55.11,A,143.79,143.79,66.261,269.783,72,0,0
55.61,A,207.70,207.70,48.216,247.140,104,0,0
56.12,A,127.82,127.82,58.182,234.643,64,0,0
56.62,A,111.84,111.84,51.084,210.602,56,0,0
57.12,A,143.79,143.79,57.932,205.079,72,0,0
57.72,B,31.96,31.96,39.826,149.806,16,0,0
58.22,B,159.77,159.77,66.493,273.912,80,0,0
58.72,B,143.80,143.80,57.263,256.236,72,0,0
59.22,B,95.87,95.87,58.293,250.937,48,0,0
59.73,B,143.80,143.80,71.393,263.466,72,0,0
60.23,B,95.86,95.86,72.838,209.104,48,0,0
60.73,B,143.79,143.79,51.545,244.808,72,0,0
61.23,B,175.75,175.75,60.039,237.634,88,0,0
61.73,B,159.77,159.77,57.385,254.076,80,0,0
62.23,B,111.84,111.84,37.450,210.228,56,0,0
62.79,A,79.91,79.91,26.799,185.603,40,0,0
63.29,A,143.79,143.79,72.703,274.604,72,0,0
63.79,A,127.82,127.82,59.771,335.660,64,0,0
64.30,A,127.83,127.83,56.795,223.891,64,0,0
64.80,A,127.81,127.81,55.803,236.169,64,0,0
65.30,A,127.83,127.83,72.903,235.228,64,0,0
65.80,A,159.78,159.78,48.355,277.791,80,0,0
66.30,A,127.82,127.82,63.969,398.610,64,0,0
66.80,A,159.77,159.77,52.313,267.084,80,0,0
67.30,A,111.84,111.84,53.628,243.118,56,0,0
67.93,B,47.94,47.94,38.069,158.972,24,0,0
68.43,B,191.73,191.73,60.012,295.763,96,0,0
68.93,B,127.82,127.82,45.009,239.847,64,0,0
69.43,B,175.76,175.76,48.121,231.570,88,0,0
69.93,B,143.81,143.81,59.120,223.740,72,0,0
70.44,B,175.75,175.75,54.377,282.692,88,0,0
70.94,B,191.74,191.74,41.566,255.228,96,0,0
71.44,B,127.82,127.82,49.047,201.052,64,0,0
71.94,B,127.82,127.82,57.102,190.181,64,0,0
72.44,B,127.81,127.81,58.633,224.374,64,0,0
73.05,A,47.94,47.94,36.316,110.714,24,0,0
73.55,A,143.80,143.80,65.036,278.732,72,0,0
74.05,A,191.73,191.73,49.726,301.399,96,0,0
74.55,A,111.84,111.84,62.493,212.651,56,0,0
75.05,A,127.82,127.82,66.379,304.092,64,0,0
75.55,A,143.80,143.80,57.931,204.999,72,0,0
76.05,A,95.87,95.87,57.707,166.815,48,0,0
76.55,A,127.83,127.83,72.709,254.348,64,0,0
77.05,A,127.83,127.83,63.795,202.761,64,0,0
77.55,A,143.80,143.80,61.064,232.330,72,0,0
78.21,B,31.96,31.96,49.568,111.114,16,0,0
78.72,B,207.69,207.69,52.705,233.098,104,0,0
79.22,B,95.86,95.86,75.856,290.288,48,0,0
79.72,B,175.74,175.74,52.042,234.290,88,0,0
80.22,B,95.86,95.86,48.838,194.603,48,0,0
80.72,B,127.82,127.82,60.240,241.201,64,0,0
81.22,B,159.77,159.77,59.345,171.712,80,0,0
81.72,B,95.86,95.86,82.111,348.869,48,0,0
82.22,B,159.77,159.77,63.318,243.186,80,0,0
82.72,B,159.77,159.77,47.912,205.739,80,0,0
83.29,A,15.98,15.98,61.792,77.334,8,0,0
83.79,A,175.76,175.76,66.162,293.710,88,0,0
84.29,A,159.77,159.77,46.663,241.322,80,0,0
84.79,A,111.84,111.84,41.588,260.628,56,0,0
85.29,A,127.82,127.82,64.321,197.943,64,0,0
85.79,A,95.87,95.87,103.500,270.807,48,0,0
86.29,A,175.74,175.74,53.486,251.071,88,0,0
86.79,A,95.92,95.92,73.781,287.813,48,0,0
87.29,A,143.81,143.81,61.418,238.452,72,0,0
87.79,A,127.83,127.83,66.397,285.534,64,0,0
88.40,B,47.94,47.94,46.905,134.859,24,0,0
88.90,B,111.85,111.85,78.470,276.930,56,0,0
89.40,B,127.82,127.82,61.545,263.481,64,0,0
89.90,B,111.84,111.84,77.075,267.333,56,0,0
90.40,B,95.87,95.87,57.961,187.892,48,0,0
90.91,B,79.89,79.89,78.420,330.012,40,0,0
91.41,B,127.82,127.82,93.002,553.064,64,0,0
91.91,B,143.80,143.80,59.989,190.004,72,0,0
92.41,B,111.84,111.84,67.322,213.053,56,0,0
92.91,B,111.84,111.84,63.077,282.325,56,0,0
93.54,A,31.96,31.96,46.598,125.796,16,0,0
94.04,A,127.82,127.82,73.152,284.037,64,0,0
94.54,A,127.82,127.82,74.856,335.780,64,0,0
95.04,A,95.86,95.86,61.783,235.590,48,0,0
95.54,A,143.76,143.76,59.416,318.272,72,0,0
96.04,A,159.77,159.77,54.615,270.403,80,0,0
96.55,A,175.75,175.75,53.946,245.794,88,0,0
97.05,A,191.73,191.73,38.208,231.773,96,0,0
97.55,A,127.81,127.81,52.988,226.428,64,0,0
98.05,A,111.84,111.84,41.347,159.003,56,0,0
98.71,B,63.92,63.92,51.823,152.352,32,0,0
99.21,B,127.81,127.81,65.095,238.902,64,0,0
99.71,B,111.85,111.85,54.279,225.545,56,0,0
100.22,B,143.80,143.80,72.022,259.379,72,0,0
100.72,B,175.75,175.75,43.893,229.770,88,0,0
101.22,B,143.79,143.79,61.232,281.203,72,0,0
101.72,B,127.81,127.81,52.447,181.936,64,0,0
102.22,B,127.81,127.81,58.372,221.881,64,0,0
102.72,B,143.79,143.79,56.589,215.504,72,0,0
103.22,B,111.84,111.84,78.990,234.418,56,0,0
103.84,A,47.94,47.94,52.849,156.976,24,0,0
104.34,A,95.86,95.86,84.624,267.714,48,0,0
104.84,A,79.91,79.91,78.960,388.587,40,0,0
105.34,A,159.78,159.78,70.411,279.862,80,0,0
105.84,A,63.91,63.91,72.219,182.726,32,0,0
106.34,A,127.83,127.83,84.546,345.241,64,0,0
106.84,A,111.84,111.84,57.206,183.459,56,0,0
107.34,A,111.84,111.84,71.345,255.324,56,0,0
107.84,A,143.85,143.85,64.088,205.159,72,0,0
108.34,A,95.86,95.86,65.922,236.348,48,0,0
108.96,B,95.89,95.89,45.854,210.209,48,0,0
109.46,B,111.84,111.84,55.996,273.495,56,0,0
109.97,B,127.82,127.82,76.640,285.402,64,0,0
110.47,B,111.84,111.84,63.082,241.197,56,0,0
110.97,B,111.84,111.84,68.853,188.926,56,0,0
111.47,B,175.75,175.75,51.924,182.203,88,0,0
111.97,B,127.82,127.82,62.984,163.414,64,0,0
112.47,B,143.80,143.80,65.918,230.037,72,0,0
112.97,B,79.88,79.88,49.175,200.561,40,0,0
113.47,B,127.82,127.82,66.165,238.833,64,0,0
114.06,A,47.94,47.94,41.749,136.136,24,0,0
114.56,A,127.82,127.82,73.913,312.501,64,0,0
115.07,A,159.77,159.77,48.043,194.962,80,0,0
115.57,A,79.88,79.88,93.409,377.347,40,0,0
116.07,A,127.81,127.81,59.792,201.086,64,0,0
116.57,A,159.78,159.78,68.056,299.421,80,0,0
117.07,A,127.82,127.82,56.877,209.301,64,0,0
117.57,A,159.78,159.78,50.260,306.695,80,0,0
118.07,A,127.82,127.82,53.006,166.825,64,0,0
118.57,A,95.86,95.86,61.026,200.701,48,0,0
119.21,B,63.93,63.93,43.410,151.870,32,0,0
119.71,B,143.81,143.81,60.696,224.839,72,0,0
120.21,B,111.84,111.84,78.923,256.545,56,0,0
120.71,B,111.84,111.84,62.882,256.560,56,0,0
121.21,B,111.84,111.84,63.807,238.497,56,0,0
121.71,B,127.82,127.82,63.634,268.514,64,0,0
122.21,B,127.82,127.82,64.195,190.362,64,0,0
122.71,B,127.91,127.91,71.164,332.932,64,0,0
123.21,B,143.80,143.80,48.542,195.209,72,0,0
123.71,B,127.81,127.81,66.448,237.795,64,0,0
124.36,A,63.93,63.93,35.275,145.307,32,0,0
124.86,A,127.82,127.82,73.430,265.068,64,0,0
125.36,A,95.86,95.86,58.135,313.565,48,0,0
125.86,A,127.82,127.82,68.214,274.084,64,0,0
126.36,A,63.91,63.91,104.200,425.212,32,0,0
126.86,A,143.79,143.79,75.232,252.272,72,0,0
127.36,A,95.86,95.86,67.322,314.654,48,0,0
127.86,A,175.75,175.75,63.486,216.224,88,0,0
128.36,A,111.84,111.84,50.865,209.190,56,0,0
128.86,A,111.84,111.84,86.032,264.343,56,0,0
129.54,B,47.94,47.94,52.156,182.376,24,0,0
130.04,B,143.80,143.80,67.343,242.786,72,0,0
130.54,B,79.88,79.88,56.252,191.840,40,0,0
131.05,B,111.84,111.84,83.432,256.087,56,0,0
131.55,B,159.76,159.76,58.076,262.335,80,0,0
132.05,B,127.82,127.82,58.113,188.570,64,0,0
132.55,B,159.77,159.77,56.171,332.204,80,0,0
133.05,B,223.68,223.68,42.599,188.865,112,0,0
133.55,B,127.81,127.81,54.243,206.810,64,0,0
134.05,B,143.80,143.80,52.966,209.614,72,0,0
134.68,A,63.93,63.93,40.102,163.712,32,0,0
