Time_Sec,Active_DB,Throughput_MBps
0.52,A,49.94
1.02,A,55.93
1.52,A,57.92
2.02,A,63.92
2.52,A,57.92
3.02,A,55.93
3.52,A,67.91
4.02,A,55.93
4.53,A,67.91
5.03,A,79.89
5.70,B,51.94
6.20,B,49.93
6.70,B,53.93
7.20,B,63.92
7.70,B,59.96
8.20,B,67.92
8.70,B,71.91
9.20,B,61.92
9.70,B,63.92
10.20,B,59.92
10.80,A,63.93
11.30,A,65.92
11.80,A,67.92
12.30,A,57.93
12.80,A,73.91
13.30,A,75.91
13.80,A,89.89
14.30,A,97.88
14.81,A,103.86
15.31,A,79.89
15.90,B,63.93
16.40,B,71.91
16.90,B,67.92
17.40,B,69.91
17.90,B,69.91
18.40,B,69.91
18.90,B,83.89
19.40,B,85.89
19.90,B,83.89
20.40,B,83.90
21.05,A,89.90
21.55,A,89.89
22.05,A,105.87
22.55,A,105.87
23.05,A,93.88
23.55,A,91.89
24.05,A,97.88
24.55,A,127.84
25.05,A,123.85
25.55,A,111.86
26.15,B,75.91
26.65,B,103.87
27.15,B,107.87
27.65,B,107.87
28.15,B,95.88
28.65,B,89.89
29.15,B,105.87
29.65,B,147.81
30.15,B,115.85
30.65,B,125.84
31.26,A,117.86
31.76,A,157.80
32.26,A,113.85
32.76,A,123.85
33.26,A,151.81
33.76,A,175.80
34.26,A,159.79
34.76,A,175.76
35.26,A,177.77
35.76,A,207.74
36.35,B,113.87
36.85,B,157.80
37.35,B,129.84
37.85,B,131.83
38.35,B,165.79
38.85,B,213.73
39.35,B,209.74
39.85,B,187.76
40.35,B,197.73
40.86,B,171.78
41.50,A,225.74
42.00,A,179.77
42.50,A,193.76
43.00,A,261.67
43.50,A,269.66
44.00,A,289.63
44.50,A,365.54
45.00,A,373.53
45.50,A,463.39
46.00,A,603.16
46.56,B,241.72
47.06,B,189.76
47.56,B,267.66
48.06,B,293.63
48.56,B,307.60
49.06,B,321.60
49.56,B,443.45
50.06,B,581.26
50.56,B,579.27
51.07,B,637.20
51.64,A,687.18
52.14,A,728.98
52.65,A,870.92
53.15,A,1232.43
53.65,A,1162.53
54.15,A,2323.08
54.65,A,6993.76
55.15,A,18281.38
55.65,A,21822.75
56.15,A,21866.71
56.65,B,946.91
57.15,B,1226.34
57.65,B,1525.92
58.16,B,2554.54
58.66,B,6969.73
59.16,B,15836.25
59.66,B,20823.63
60.16,B,22313.61
60.66,B,22633.99
61.16,B,22414.46
61.66,A,23423.26
62.16,A,22880.60
62.66,A,23053.19
63.16,A,23863.97
63.67,A,25286.26
64.17,A,25456.84
64.67,A,23868.86
65.17,A,24906.29
65.67,A,23462.16
66.17,A,22502.11
66.67,B,22370.77
67.17,B,23752.73
67.67,B,22568.23
68.17,B,24345.24
68.68,B,24392.38
69.18,B,23514.68
69.68,B,23546.86
70.18,B,23116.13
70.68,B,22375.21
