--- wan_reader ---
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (Warm-Up) (epoch 1, progress 0.00%): UPDATE throughput 17.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 493.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 510.92 ops/sec
Zipfian (Warm-Up) (epoch 2, progress 0.00%): UPDATE throughput 31.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 543.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 574.91 ops/sec
Zipfian (Warm-Up) (epoch 3, progress 0.00%): UPDATE throughput 31.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 578.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 609.91 ops/sec
Zipfian (Warm-Up) (epoch 4, progress 0.01%): UPDATE throughput 22.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 570.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 592.92 ops/sec
Zipfian (Warm-Up) (epoch 5, progress 0.01%): UPDATE throughput 22.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 529.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 551.92 ops/sec
Zipfian (Warm-Up) (epoch 6, progress 0.01%): UPDATE throughput 27.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 624.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 651.90 ops/sec
Zipfian (Warm-Up) (epoch 7, progress 0.01%): UPDATE throughput 38.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 599.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 637.93 ops/sec
Zipfian (Warm-Up) (epoch 8, progress 0.01%): UPDATE throughput 30.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 659.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 689.90 ops/sec
Zipfian (Warm-Up) (epoch 9, progress 0.01%): UPDATE throughput 30.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 661.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 691.91 ops/sec
Zipfian (Warm-Up) (epoch 10, progress 0.02%): UPDATE throughput 35.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 668.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 704.90 ops/sec
Zipfian (Warm-Up) (epoch 11, progress 0.02%): UPDATE throughput 29.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 693.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 722.90 ops/sec
Zipfian (Warm-Up) (epoch 12, progress 0.02%): UPDATE throughput 38.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 686.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 725.89 ops/sec
Zipfian (Warm-Up) (epoch 13, progress 0.02%): UPDATE throughput 27.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 800.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 827.88 ops/sec
Zipfian (Warm-Up) (epoch 14, progress 0.02%): UPDATE throughput 51.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 786.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 838.87 ops/sec
Zipfian (Warm-Up) (epoch 15, progress 0.03%): UPDATE throughput 42.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 752.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 795.88 ops/sec
