Uniform (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Uniform (Warm-Up) (epoch 1, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 51.99 ops/sec, READ throughput 50.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 102.97 ops/sec
Uniform (Warm-Up) (epoch 2, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 62.99 ops/sec, READ throughput 73.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 136.98 ops/sec
Uniform (Warm-Up) (epoch 3, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 48.99 ops/sec, READ throughput 60.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 109.98 ops/sec
Uniform (Warm-Up) (epoch 4, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 94.99 ops/sec, READ throughput 71.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 166.98 ops/sec
Uniform (Warm-Up) (epoch 5, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 65.99 ops/sec, READ throughput 82.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 148.98 ops/sec
Uniform (Warm-Up) (epoch 6, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 81.99 ops/sec, READ throughput 83.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 165.98 ops/sec
Uniform (Warm-Up) (epoch 7, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 65.99 ops/sec, READ throughput 80.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 146.98 ops/sec
Uniform (Warm-Up) (epoch 8, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 88.99 ops/sec, READ throughput 82.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 171.98 ops/sec
Uniform (Warm-Up) (epoch 9, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 93.99 ops/sec, READ throughput 84.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 178.98 ops/sec
Uniform (Warm-Up) (epoch 10, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 84.99 ops/sec, READ throughput 86.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 171.98 ops/sec
Uniform (Warm-Up) (epoch 11, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 90.99 ops/sec, READ throughput 87.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 178.98 ops/sec
Uniform (Warm-Up) (epoch 12, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 107.99 ops/sec, READ throughput 79.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 187.98 ops/sec
Uniform (Warm-Up) (epoch 13, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 87.99 ops/sec, READ throughput 84.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 172.98 ops/sec
