ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (Warm-Up) (epoch 1, progress 0.00%): UPDATE throughput 110.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 73.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 184.98 ops/sec
Zipfian (Warm-Up) (epoch 2, progress 0.00%): UPDATE throughput 85.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 93.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 179.97 ops/sec
Zipfian (Warm-Up) (epoch 3, progress 0.00%): UPDATE throughput 94.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 95.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 190.97 ops/sec
Zipfian (Warm-Up) (epoch 4, progress 0.00%): UPDATE throughput 115.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 105.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 221.97 ops/sec
Zipfian (Warm-Up) (epoch 5, progress 0.00%): UPDATE throughput 123.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 125.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 249.97 ops/sec
Zipfian (Warm-Up) (epoch 6, progress 0.00%): UPDATE throughput 104.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 112.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 217.97 ops/sec
Zipfian (Warm-Up) (epoch 7, progress 0.00%): UPDATE throughput 102.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 108.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 211.97 ops/sec
Zipfian (Warm-Up) (epoch 8, progress 0.00%): UPDATE throughput 120.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 125.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 246.96 ops/sec
Zipfian (Warm-Up) (epoch 9, progress 0.00%): UPDATE throughput 133.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 128.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 262.96 ops/sec
Zipfian (Warm-Up) (epoch 10, progress 0.00%): UPDATE throughput 136.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 138.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 275.96 ops/sec
