LatestWorkload: start initializing zipfian variables, might take a while
Latest (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Latest (Warm-Up) (epoch 1, progress 0.19%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7475.22 ops/sec, READ throughput 142250.06 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 149725.28 ops/sec
Latest (Warm-Up) (epoch 2, progress 0.45%): UPDATE throughput 0.00 ops/sec, INSERT throughput 10613.77 ops/sec, READ throughput 197685.07 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 208298.84 ops/sec
Latest (Warm-Up) (epoch 3, progress 0.60%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6273.33 ops/sec, READ throughput 116778.50 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 123051.83 ops/sec
Latest (Warm-Up) (epoch 4, progress 0.78%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6994.23 ops/sec, READ throughput 132330.44 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 139324.67 ops/sec
Latest (Warm-Up) (epoch 5, progress 0.93%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6199.23 ops/sec, READ throughput 118062.36 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 124261.59 ops/sec
Latest (Warm-Up) (epoch 6, progress 1.11%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7396.84 ops/sec, READ throughput 138756.22 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 146153.05 ops/sec
Latest (Warm-Up) (epoch 7, progress 1.30%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7694.34 ops/sec, READ throughput 145245.51 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 152939.85 ops/sec
Latest (Warm-Up) (epoch 8, progress 1.46%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6001.32 ops/sec, READ throughput 114927.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 120929.21 ops/sec
Latest (Warm-Up) (epoch 9, progress 1.69%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9574.94 ops/sec, READ throughput 181528.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 191103.79 ops/sec
Latest (Warm-Up) (epoch 10, progress 1.89%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7846.94 ops/sec, READ throughput 148601.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 156448.88 ops/sec
