Time_Sec,Active_DB,Throughput_MBps
0.54,A,136.34
1.04,A,28.42
1.70,A,34.76
2.20,A,95.02
2.70,A,158.39
3.21,A,157.67
3.72,A,149.89
4.31,A,15.27
5.00,A,3.65
5.74,B,142.89
6.41,B,5.50
7.03,B,61.86
7.53,B,18.18
8.03,B,135.59
8.54,B,135.94
9.05,B,149.22
9.64,B,124.44
10.46,B,3.59
10.98,A,87.73
11.70,A,13.59
12.56,A,41.20
13.39,A,3.52
13.89,A,66.30
14.39,A,144.96
14.90,A,137.97
15.40,A,147.71
15.96,B,98.44
16.65,B,16.80
17.43,B,43.91
18.32,B,3.43
18.83,B,81.92
19.33,B,136.51
19.83,B,136.82
20.34,B,129.07
21.05,A,20.57
21.77,A,3.49
22.52,A,3.28
23.05,A,70.59
23.94,A,3.60
24.74,A,3.71
25.66,A,37.10
26.24,B,29.43
27.16,B,3.46
27.67,B,6.21
28.24,B,55.83
29.15,B,3.50
29.83,B,4.67
30.38,B,61.72
31.32,A,6.71
31.82,A,24.17
32.51,A,35.24
33.03,A,4.77
33.80,A,50.27
34.47,A,4.49
34.98,A,139.63
35.48,A,140.01
36.04,A,38.50
36.71,B,16.71
37.30,B,51.17
38.04,B,3.34
38.80,B,48.73
39.70,B,3.42
40.58,B,3.48
41.20,B,5.02
41.71,A,6.63
42.41,A,3.58
43.15,A,3.31
43.95,A,48.75
44.74,A,4.04
45.61,A,3.36
46.30,A,48.99
46.81,B,83.69
47.43,B,20.23
47.94,B,74.24
48.73,B,3.67
49.23,B,88.47
49.73,B,140.71
50.23,B,136.12
50.73,B,139.51
51.57,B,62.75
52.29,A,16.01
53.11,A,48.36
54.01,A,3.51
54.83,A,3.83
55.62,A,86.67
56.53,A,3.50
57.53,B,6.50
58.24,B,3.53
58.98,B,3.36
59.68,B,3.53
60.41,B,1.10
61.09,B,50.81
61.96,B,3.47
