Time_Sec,Active_DB,Throughput_MBps
0.66,A,112.34
1.16,A,61.64
1.87,A,9.06
2.37,A,143.89
2.88,A,160.65
3.38,A,158.72
4.11,A,89.00
4.91,A,3.59
5.83,B,145.74
6.37,B,7.49
7.20,B,43.35
7.70,B,73.55
8.21,B,142.24
8.71,B,142.20
9.21,B,147.03
9.80,B,57.38
10.65,B,3.67
11.15,A,82.23
11.84,A,21.69
12.51,A,51.70
13.03,A,5.99
13.53,A,144.44
14.03,A,137.50
14.54,A,137.90
15.04,A,142.43
15.89,A,5.89
16.39,B,80.22
17.05,B,21.37
17.56,B,68.19
18.27,B,3.49
18.78,B,38.93
19.28,B,145.46
19.78,B,141.37
20.28,B,141.94
20.79,B,138.08
21.43,A,6.65
22.14,A,3.53
22.88,A,3.36
23.52,A,3.80
24.14,A,59.71
24.96,A,3.78
25.89,A,3.18
26.73,B,5.69
27.43,B,3.52
28.16,B,3.42
28.71,B,4.46
29.30,B,56.60
30.22,B,3.31
31.13,B,3.59
31.72,A,45.35
32.25,A,59.22
32.96,A,3.53
33.69,A,3.35
34.22,A,75.84
35.01,A,3.44
35.52,A,141.88
36.03,A,131.18
36.82,B,48.19
37.49,B,51.66
38.42,B,3.37
39.18,B,4.37
40.00,B,41.09
40.94,B,3.43
41.92,A,19.69
42.66,A,3.34
43.34,A,54.05
44.22,A,3.50
44.72,A,15.35
45.41,A,75.24
46.28,A,3.31
47.17,B,65.53
47.87,B,15.98
48.46,B,51.85
49.10,B,5.11
49.60,B,138.54
50.15,B,111.61
51.06,B,3.18
51.85,B,3.77
52.37,A,15.47
52.94,A,61.47
53.46,A,3.15
54.05,A,59.73
54.98,A,3.44
55.84,A,3.46
56.35,A,130.22
56.86,A,153.29
57.36,B,55.66
58.20,B,23.35
58.83,B,5.12
59.37,B,59.04
59.87,B,2.83
60.38,B,23.94
60.96,B,30.17
61.64,B,24.71
