Time_Sec,Evictions_Cumulative
0.00,19857408
0.50,37421056
1.00,53805056
1.50,69795840
2.00,85131264
2.50,100335616
3.01,103673856
3.51,103673856
4.01,103673856
4.51,20717568
5.01,48852992
5.51,76914688
6.01,100999168
6.51,124821504
7.01,150888448
7.51,177668096
8.01,210071552
8.51,231559168
9.01,257093632
9.51,275603456
10.01,301326336
10.52,320352256
11.02,355823616
11.52,383082496
12.02,401256448
12.52,431013888
13.02,456531968
13.52,471535616
14.02,494944256
14.52,519462912
15.02,542228480
15.52,569049088
16.02,596242432
16.52,615882752
17.02,643321856
17.52,670363648
18.02,692871168
18.52,723795968
19.03,747507712
19.53,777953280
20.03,830455808
20.53,893648896
21.03,950005760
21.53,1022468096
22.03,1066889216
22.53,1138720768
23.03,1197477888
23.53,1251561472
24.03,1322692608
24.53,1378934784
25.03,1442676736
25.53,1502982144
26.03,1563705344
26.54,1627381760
27.04,1684164608
27.54,1743003648
28.04,1805979648
28.54,1866186752
29.04,1927340032
29.54,1983885312
30.04,2031722496
30.54,2091601920
31.04,2155184128
31.54,2211209216
32.04,2271690752
32.54,2330353664
33.04,2385727488
33.55,2451341312
34.05,2526523392
34.55,2593226752
35.05,2675445760
35.55,2732617728
36.05,2809556992
36.55,2889302016
37.05,2947764224
37.55,3024580608
38.05,3091517440
38.55,3148992512
39.05,3214573568
39.55,3278618624
40.05,3322429440
40.56,3379843072
41.06,3461693440
41.56,3521146880
42.06,3586834432
42.56,3667005440
43.06,3749183488
43.56,3818889216
44.06,3899322368
44.56,3948527616
45.06,3995357184
45.56,4065767424
46.06,4128014336
46.56,4186689536
47.06,4245344256
47.56,4293394432
48.07,4349407232
48.57,4427976704
49.07,4471459840
49.57,4530724864
50.07,4586266624
50.57,4636979200
51.07,4698292224
51.57,4755820544
52.07,4809932800
52.57,4877443072
53.07,4932796416
53.57,4991475712
54.07,5055815680
54.58,5105774592
55.08,5152178176
55.58,5213913088
56.08,5264433152
56.58,5319606272
57.08,5366059008
57.58,5432516608
58.08,5485101056
58.58,5528760320
59.08,5589295104
59.58,5630582784
60.08,5630345216
60.58,2513620992
61.08,238510080
61.58,304713728
62.09,347938816
62.59,408289280
63.09,462782464
63.59,520085504
64.09,558817280
64.59,558092288
65.09,551620608
65.59,561221632
66.09,561840128
66.59,562450432
67.09,563142656
67.59,559837184
68.09,563707904
68.59,558571520
69.10,564641792
69.60,565342208
70.10,565817344
70.60,561352704
71.10,567291904
71.60,567795712
72.10,568090624
72.60,569217024
73.10,563683328
73.60,568987648
74.10,571576320
74.60,568299520
75.10,564961280
75.60,573435904
76.11,572014592
76.61,570380288
77.11,564277248
77.61,573325312
78.11,565694464
78.61,573476864
79.11,573698048
79.61,565334016
80.11,572411904
80.61,570716160
81.11,569970688
81.61,567934976
82.11,564723712
82.61,557416448
83.12,566992896
83.62,560242688
84.12,567054336
84.62,567451648
85.12,567169024
85.62,567271424
86.12,567545856
86.62,567291904
87.12,566734848
87.62,566370304
88.12,561651712
88.62,566104064
89.12,565751808
89.63,558186496
90.13,555356160
90.63,549781504
