size_gib,benchmark,winner_policies,max_throughput_ops
2,ycsb_a,cache_ext_mglru,91.77
2,ycsb_b,cache_ext_mglru,92.10
2,ycsb_c,cache_ext_mglru,94.42
2,ycsb_e,cache_ext_mglru,63.49
2,ycsb_f,cache_ext_mglru,93.82
2,uniform,cache_ext_mglru,58.35
2,uniform_read_write,cache_ext_mglru,109.49
4,ycsb_a,cache_ext_mglru,92.69
4,ycsb_b,cache_ext_mglru,94.28
4,ycsb_c,cache_ext_fifo,85.35
4,ycsb_d,cache_ext_fifo,295433.89
4,ycsb_e,cache_ext_mru,64.39
4,ycsb_f,cache_ext_mru,94.60
4,uniform,cache_ext_mru,57.30
4,uniform_read_write,cache_ext_mru,114.42
8,ycsb_a,cache_ext_mru,91.66
8,ycsb_b,cache_ext_mru,93.62
8,ycsb_c,cache_ext_mru,92.96
8,ycsb_d,cache_ext_fifo,290369.10
8,ycsb_e,cache_ext_mru,63.70
8,ycsb_f,cache_ext_mru,93.12
8,uniform,cache_ext_mru,58.82
8,uniform_read_write,cache_ext_mru,114.24
